source_row_id,source_platform,scraped_date,name,address,city,postcode,neighbourhood,phone,website,cuisine,price_band,rating,review_count,fullservice_keyword_filter,fullservice_llm_filter,fullservice_llm_confidence,pos_system,pos_signal,pos_eligibility,chain_size_bucket,restaurant_group
R001847,civicpages,2026-07-18,Motherland Osteria,7904 East Halloway Avenue,Verano Bay,40488,Miradero,5553207694,,Indian,$$,3.3,1680,pass,pass,0.83,n/a,none,unknown,SME,
R001733,bookwell,2026-07-11,Quarry Oyster Bar,3506 W Tarrow Blvd,Verano Bay,40273,Sunfield,+1 555 365 8714,https://www.quarryoysterbar.example,Contemporary,$$,4.4,1139,pass,pass,0.8,Ironclad POS,website_fingerprint,fail,SME,
R001623,bookwell,2026-07-26,Zephyr House,1825 E Mallow St,Verano Bay,40169,Old Mill,555.605.3087,https://www.zephyrhouse.example,Mexican,$$,4.4,340,pass,pass,0.8,Cadence POS,website_fingerprint,fail,SME,
R000921,civicpages,2026-07-25,Persimmon Table,4096 W Vance Rd,Verano Bay,40143,Sunfield,+15557276182,https://www.persimmontable.example,Korean,$$$,4.5,652,pass,pass,0.73,-,none,unknown,SME,
R003173,roamly,2026-07-12,Driftwood Supper Club Verano Bay,7028 S Lindmere St,Verano Bay,40163,Lantern Hill,555-973-9616,https://www.driftwoodsupperclub.example,Korean,$$$,4.0,540,pass,pass,0.85,not found,none,unknown,mid-cap,Driftwood Group
R002501,dineline,2026-07-20,Vesper Sandwich Shop,5250 W Rivermead Blvd,Verano Bay,40398,Ferrymead,555.861.2224,https://www.vespersandwichshop.example,Indian,$$,4.0,493,fail,fail,0.96,unknown,none,unknown,SME,
R002123,atlasmaps,2026-07-12,Quill Bistro Restaurant,1817 West Bayard Boulevard,Verano Bay,40286,Calder Park,5557297537,https://www.quillbistro.example,Japanese,$$$,4.1,245,pass,pass,0.95,cadence,website_fingerprint,fail,SME,
R001291,dineline,2026-07-24,Harrow Smokehouse,1115 N Tarrow Ave,Verano Bay,40349,Quarry End,555-611-2831,https://www.harrowsmokehouse.example,Thai,$$$,4.5,1345,pass,pass,0.83,UNKNOWN,none,unknown,SME,
R000415,bookwell,2026-07-19,Fernwood Wine Bar - Bramble Row,1001 W Lindmere Road,Verano Bay,40551,Kingsway,555.994.7798,https://www.fernwoodwinebar.example,French,$,4.2,1702,pass,pass,0.82,unknown,none,unknown,SME,
R000041,roamly,2026-07-08,Prairie Chophouse - Windrow,1006 East Serra Street,Verano Bay,40511,Calder Park,5554019484,https://www.prairiechophouse.example,Greek,$$$,3.6,778,pass,pass,0.99,N/A,none,unknown,mid-cap,Prairie Table Group
R001422,civicpages,2026-07-10,Gallow Wine Bar,"5935 S Serra St, Verano Bay",Verano Bay,40457,Windrow,(555) 615-6469,https://www.gallowwinebar.example,Ethiopian,$,4.0,1681,pass,pass,0.79,unknown,none,unknown,SME,
R003423,roamly,2026-07-08,Hearth Steakhouse - Miradero,467 N Serra St,Northmoor,40267,,,https://www.hearthsteakhouse.example,French,$$$,4.8,1642,pass,pass,0.92,n/a,none,unknown,SME,
R000458,dineline,2026-07-02,Kinship Steakhouse,2740 S Fennimore Blvd,Verano Bay,40162,Palisade Park,+1 555 699 7588,https://www.kinshipsteakhouse.example,Spanish,$$,3.8,149,pass,pass,0.89,Ironclad POS,website_fingerprint,fail,SME,
R002080,dineline,2026-07-20,The Bramble Chophouse,"1836 N Rivermead St, Verano Bay",Verano Bay,40454,Rivera District,(555) 487-6390,https://www.bramblechophouse.example,Peruvian,$$,4.4,916,pass,pass,0.78,not found,none,unknown,SME,
R001451,atlasmaps,2026-06-30,Alder Table,1471 E Fennimore St,Verano Bay,40719,Sablewood,(555) 144-5820,https://www.aldertable.example,Seafood,$$$$,3.9,1299,pass,pass,0.86,ironcladpos,website_fingerprint,fail,SME,
R000628,civicpages,2026-07-05,Alder Dining Room,1667 E Fennimore Ave,Verano Bay,40770,Bayview Flats,(555) 195-8041,,Italian,$$,4.7,742,pass,pass,0.89,unknown,none,unknown,SME,
R000895,roamly,2026-07-25,Prairie Dining Room - Ashgrove,380 E Fennimore Street,Verano Bay,40642,Bayview Flats,5555787357,https://www.prairiediningroom.example,Mexican,$$,4.5,901,pass,pass,0.83,N/A,none,unknown,SME,
R001805,atlasmaps,2026-07-21,Quill Tavern,5769 N Rivermead Ave,Verano Bay,40243,Greenhithe,555.353.8769,https://www.quilltavern.example,Ethiopian,$,4.1,1104,pass,pass,0.86,Unknown,none,unknown,SME,
R000919,bookwell,2026-07-04,Harrow Room,5099 N Calder Ave,Verano Bay,40781,Templeton,555-580-2105,https://www.harrowroom.example,Ethiopian,$$,3.3,1622,pass,pass,0.91,n/a,none,unknown,SME,
R002539,dineline,2026-07-04,Motherland Sandwich Shop,1051 S Halloway Blvd,Verano Bay,40439,Kingsway,+1 555 109 3971,https://www.motherlandsandwichshop.example,Seafood,$,3.5,768,fail,fail,0.84,Unknown,none,unknown,SME,
R002031,civicpages,2026-07-21,Cobalt Trattoria,4156 N Ashfield St,Verano Bay,40752,Rivera District,555.558.7403,https://www.cobalttrattoria.example,Ethiopian,$$,3.7,710,pass,pass,0.98,Unknown,none,unknown,SME,
R002305,civicpages,2026-07-11,Hearth To Go,6375 S Fennimore Rd,Verano Bay,40424,Corvo Heights,555.758.3236,,Peruvian,$$$$,4.8,2199,pass,fail,0.75,UNKNOWN,none,unknown,SME,
R003277,dineline,2026-07-16,Warbler Supper Club,806 N Halloway Blvd,Verano Bay,40115,Miradero,555-904-2749,https://www.warblersupperclub.example,Steakhouse,$$$,4.3,605,pass,pass,0.99,Unknown,none,unknown,large,Warbler Inc
R002556,dineline,2026-07-18,Tidewater Coffee,2860 West Ashfield Boulevard,Verano Bay,40433,Lantern Hill,555-525-6517,https://www.tidewatercoffee.example,Ethiopian,$$$,4.8,2127,fail,fail,0.85,,none,unknown,SME,
R002550,bookwell,2026-07-16,Kinship Food Truck,6001 S Vance Rd,Verano Bay,40720,Calder Park,+1 555 832 1500,https://www.kinshipfoodtruck.example,Contemporary,$$$,4.0,367,pass,fail,0.97,,none,unknown,SME,
R001594,tablefind,2026-07-07,Cinder Trattoria,6842 North Wexley Blvd,Verano Bay,40556,Fox Hollow,555-183-9308,https://www.cindertrattoria.example,Mexican,$$$,3.7,502,pass,pass,0.73,not found,none,unknown,SME,
R001474,atlasmaps,2026-07-07,Anchor Cantina,1309 S Rivermead St,Verano Bay,40411,Sunfield,5551844812,https://www.anchorcantina.example,Spanish,$$,3.7,845,pass,pass,0.84,unknown,none,unknown,SME,
R000475,atlasmaps,2026-07-25,Saffron Bistro,770 S Tarrow Ave,Verano Bay,40719,Sunfield,5557762023,https://www.saffronbistro.example,French,$$$,4.4,1150,pass,pass,0.74,meridian cloud,website_fingerprint,pass,SME,
R001585,tablefind,2026-07-21,Fernwood Trattoria Restaurant,665 N Wexley Street,Verano Bay,40545,Quarry End,,,Contemporary,$$,4.1,996,pass,pass,0.81,UNKNOWN,none,unknown,SME,
R000633,tablefind,2026-07-10,Blue Heron Taqueria,7813 E Cortez Ave,Verano Bay,40751,Calder Park,+1 555 522 9877,https://www.blueherontaqueria.example,Peruvian,$$$,3.6,1074,pass,pass,0.85,not found,none,unknown,SME,
R001872,tablefind,2026-07-21,Anchor Alehouse,1238 N Vance St,Verano Bay,40328,Corvo Heights,555-442-0347,https://www.anchoralehouse.example,Thai,$$,4.5,506,pass,pass,0.79,Unknown,none,unknown,SME,
R001937,civicpages,2026-07-10,Plumb Chophouse Verano Bay,"6753 N Vance Blvd, Verano Bay",Verano Bay,40749,Quarry End,+15556749429,https://www.plumbchophouse.example,Greek,$,4.5,1049,pass,pass,0.94,-,none,unknown,SME,
R002006,dineline,2026-07-07,The Kinship Osteria,275 South Quinton Ave,Verano Bay,40104,Ferrymead,555.595.0885,,Contemporary,$,3.6,1232,pass,pass,0.74,not found,none,unknown,SME,
R000615,dineline,2026-07-12,Ember Grill,6481 E Ashfield Ave,Verano Bay,40194,Quarry End,+15554966837,https://www.embergrill.example,Korean,$$,4.8,690,pass,pass,0.73,unknown,none,unknown,SME,
R000623,atlasmaps,2026-07-28,Salt and Vine Cantina,6577 E Vance Boulevard,Verano Bay,40427,Corvo Heights,5559492127,https://www.saltvinecantina.example,Vietnamese,$$$$,4.1,908,pass,pass,0.89,IRONCLAD,website_fingerprint,fail,SME,
R001140,bookwell,2026-07-07,Marrow Smokehouse,1679 N Halloway Ave,Verano Bay,40573,Kingsway,5554910641,,Indian,$$,3.4,1970,pass,pass,0.88,UNKNOWN,none,unknown,SME,
R002494,atlasmaps,2026-07-02,Rookery Sandwich Shop,7653 W Serra Blvd,Verano Bay,40693,Rivera District,555.439.5987,https://www.rookerysandwichshop.example,Vietnamese,$$$$,4.3,1265,pass,fail,0.72,unknown,none,unknown,SME,
R001459,bookwell,2026-07-06,Larkspur Dining Room Verano Bay,3899 W Prospect St,Verano Bay,40577,Greenhithe,(555) 869-0897,https://www.larkspurdiningroom.example,Italian,$$$,4.0,1300,pass,pass,0.97,not found,none,unknown,SME,
R003171,dineline,2026-07-26,Driftwood Supper Club,7028 S Lindmere St,Verano Bay,40530,Lantern Hill,(555) 973-9616,https://www.driftwoodsupperclub.example,Korean,$$$,4.0,463,pass,pass,0.76,UNKNOWN,none,unknown,mid-cap,Driftwood Group
R002662,roamly,2026-07-08,Thicket Donuts,4330 W Prospect St,Verano Bay,40165,Cedar Cross,555-171-3594,https://www.thicketdonuts.example,Greek,$$,3.5,1627,pass,fail,0.89,,none,unknown,SME,
R002466,bookwell,2026-07-26,Roan Donuts,2029 N Halloway Boulevard,Verano Bay,40404,Windrow,555-320-4553,https://www.roandonuts.example,French,$$$,4.0,1121,pass,fail,0.95,ironcladpos,website_fingerprint,fail,SME,
R001772,tablefind,2026-07-23,Nightjar Kitchen,630 South Tarrow Street,Verano Bay,40289,Old Mill,(555) 357-4301,https://www.nightjarkitchen.example,Steakhouse,$,3.9,574,pass,pass,0.82,Rivet Pay,website_fingerprint,fail,SME,
R003472,dineline,2026-07-26,Halcyon Grill,6485 S Ashfield Ave,Kestrel Falls,40583,,555.547.1774,https://www.halcyongrill.example,Vietnamese,$$,4.6,873,pass,pass,0.8,unknown,none,unknown,SME,
R003240,civicpages,2026-07-08,Motherland Smokehouse,3552 E Mallow Ave,Verano Bay,40383,Bayview Flats,555.580.6750,https://www.motherlandsmokehouse.example,Vietnamese,$$$,4.0,361,pass,pass,0.74,UNKNOWN,none,unknown,mid-cap,Motherland Group
R000305,dineline,2026-07-05,Blue Heron Dining Room,3474 S Fennimore Blvd,Verano Bay,40775,Lantern Hill,+15557970354,https://www.blueherondiningroom.example,Barbecue,$$$,4.2,491,pass,pass,0.94,ironcladpos,website_fingerprint,fail,SME,
R000094,roamly,2026-07-05,Plumb Grill Verano Bay,277 E Vance Street,Verano Bay,40793,Fox Hollow,(555) 907-3013,https://www.plumbgrill.example,Mediterranean,$$$,3.5,1312,pass,pass,0.87,Unknown,none,unknown,SME,
R003015,atlasmaps,2026-07-15,The Nine Bridges Donuts,7144 West Tarrow St,Verano Bay,40621,Miradero,(555) 360-7687,https://www.ninebridgesdonuts.example,Spanish,$$$$,3.6,1684,pass,fail,0.94,-,none,unknown,SME,
R001309,atlasmaps,2026-07-26,Redbird Steakhouse,2884 W Cortez Street,Verano Bay,40262,Palisade Park,+15554359184,https://www.redbirdsteakhouse.example,Ethiopian,$$,3.6,2129,pass,pass,0.93,Unknown,none,unknown,SME,
R002180,atlasmaps,2026-07-24,Bramble Osteria,6332 N Calder Ave,Verano Bay,40713,Palisade Park,555.208.1551,,Greek,$,3.7,1964,pass,pass,0.88,n/a,none,unknown,SME,
R002286,civicpages,2026-07-24,Redbird Boba Restaurant,4902 E Bayard Blvd,Verano Bay,40796,Bayview Flats,+1 555 977 2174,https://www.redbirdboba.example,Contemporary,$$,4.8,232,pass,fail,0.79,Salt Box,website_fingerprint,fail,SME,
R003444,civicpages,2026-06-30,Oxbow Tavern,6159 N Fennimore St,Kestrel Falls,40180,,555-526-4083,https://www.oxbowtavern.example,Spanish,$,4.0,2121,pass,pass,0.97,not found,none,unknown,SME,
R001865,atlasmaps,2026-07-27,Violet Alehouse,2010 N Ashfield St,Verano Bay,40241,Old Mill,555.486.6815,https://www.violetalehouse.example,Italian,$,4.7,415,pass,pass,0.8,Ironclad,website_fingerprint,fail,SME,
R003489,tablefind,2026-07-17,Quarry Alehouse,5803 W Lindmere Ave,Northmoor,40332,,+15556455058,https://www.quarryalehouse.example,Polish,$$$$,4.1,1942,pass,pass,0.95,,none,unknown,SME,
R001674,tablefind,2026-07-05,Juniper Trattoria,6180 S Rivermead Blvd,Verano Bay,40430,Ferrymead,(555) 315-1946,,Italian,$$$,4.7,1234,pass,pass,0.78,Unknown,none,unknown,SME,
R001796,bookwell,2026-07-15,Cardinal Kitchen,844 South Mallow Boulevard,Verano Bay,40465,Ashgrove,+15554803326,https://www.cardinalkitchen.example,Thai,$,3.6,673,pass,pass,0.89,n/a,none,unknown,SME,
R000604,dineline,2026-07-26,Kettle Bistro,507 E Calder Blvd,Verano Bay,40752,Rivera District,555.875.6929,https://www.kettlebistro.example,Indian,$$$$,3.4,1705,pass,pass,0.73,Orbit POS,website_fingerprint,pass,SME,
R002797,tablefind,2026-07-02,VERDE CAFE,"2759 E Lindmere St, Verano Bay",Verano Bay,40185,Sunfield,+1 555 330 5824,https://www.verdecafe.example,Indian,$$$,3.6,238,fail,fail,0.86,UNKNOWN,none,unknown,SME,
R001682,civicpages,2026-07-01,THICKET SUPPER CLUB,"1792 W Prospect St, Verano Bay",Verano Bay,40529,Sunfield,(555) 803-5534,https://www.thicketsupperclub.example,French,$$$$,3.8,1257,pass,pass,0.99,,none,unknown,SME,
R001511,dineline,2026-07-26,Zephyr Trattoria,7891 S Wexley St,Verano Bay,40452,Rivera District,555-225-1854,https://www.zephyrtrattoria.example,French,$$$,4.1,824,pass,pass,0.94,Cadence Station,website_fingerprint,fail,SME,
R000606,dineline,2026-06-30,The Fernwood Kitchen,5486 West Tarrow Avenue,Verano Bay,40359,Fox Hollow,5552903400,https://www.fernwoodkitchen.example,Barbecue,$$,4.2,325,pass,pass,0.75,Ironclad POS,website_fingerprint,fail,SME,
R002903,atlasmaps,2026-07-25,Inkwell Food Truck,5111 S Quinton St,Verano Bay,40577,Bayview Flats,(555) 815-3619,https://www.inkwellfoodtruck.example,Polish,$$,3.5,130,fail,fail,0.86,unknown,none,unknown,SME,
R001074,dineline,2026-07-06,Plumb Osteria Verano Bay,5975 N Rivermead Rd,Verano Bay,40537,Cedar Cross,+1 555 611 8854,https://www.plumbosteria.example,Seafood,$,3.6,700,pass,pass,0.92,n/a,none,unknown,SME,
R000873,tablefind,2026-07-13,Umber Cantina,6380 N Vance St,Verano Bay,40743,Corvo Heights,(555) 744-0163,https://www.umbercantina.example,Peruvian,$$$,3.6,1298,pass,pass,0.82,,none,unknown,SME,
R002046,bookwell,2026-07-17,Bluebird Brasserie,7032 W Vance St,Verano Bay,40797,Miradero,555.616.7261,,Korean,$,4.2,931,pass,pass,0.75,unknown,none,unknown,SME,
R002212,roamly,2026-07-28,Vesper Trattoria,"3173 S Vance Rd, Verano Bay",Verano Bay,40465,Corvo Heights,+15559993782,https://www.vespertrattoria.example,Thai,$$$$,3.7,140,pass,pass,0.91,N/A,none,unknown,SME,
R002086,dineline,2026-07-08,Salt & Vine Wine Bar,1845 E Rivermead St,Verano Bay,40260,Cedar Cross,555.731.7493,https://www.saltvinewinebar.example,Polish,$$,3.7,351,pass,pass,0.75,Unknown,none,unknown,SME,
R002063,bookwell,2026-07-25,Verde Taqueria,2280 S Tarrow Rd,Verano Bay,40725,Old Mill,555-439-0610,https://www.verdetaqueria.example,Japanese,$$$$,4.3,92,pass,pass,0.92,n/a,none,unknown,SME,
R000531,bookwell,2026-07-09,Marigold Oyster Bar,5208 W Fennimore St,Verano Bay,40626,Palisade Park,+1 555 910 7149,,Seafood,$,3.8,1370,pass,pass,0.86,,none,unknown,SME,
R002950,atlasmaps,2026-07-24,Thicket Juice Bar,293 W Quinton Blvd,Verano Bay,40652,Old Mill,555-571-0374,https://www.thicketjuicebar.example,Steakhouse,$$$,3.9,293,fail,fail,0.79,n/a,none,unknown,SME,
R001120,roamly,2026-07-04,Violet Taqueria,3048 W Bayard Ave,Verano Bay,40618,Ferrymead,(555) 669-4701,,Ethiopian,$$,4.9,1746,pass,pass,0.72,N/A,none,unknown,SME,
R001540,roamly,2026-07-03,The Quill Supper Club,4113 North Lindmere Boulevard,Verano Bay,40503,Miradero,555.216.5580,,Vietnamese,$$,3.6,900,pass,pass,0.94,unknown,none,unknown,SME,
R002928,civicpages,2026-07-11,Halcyon Kiosk,6228 S Lindmere Rd,Verano Bay,40779,Bramble Row,+15552299480,https://www.halcyonkiosk.example,Indian,$$$$,4.7,2069,pass,fail,0.93,Cadence Station,website_fingerprint,fail,SME,
R001821,roamly,2026-07-09,Redbird Chophouse Restaurant,4983 North Wexley Rd,Verano Bay,40421,Lantern Hill,555-746-8259,https://www.redbirdchophouse.example,Italian,$$$$,4.3,542,pass,pass,0.94,n/a,none,unknown,SME,
R003204,dineline,2026-07-05,Alder Wine Bar,3708 N Prospect St,Verano Bay,40425,Alder Heights,(555) 886-3833,https://www.alderwinebar.example,Italian,$$,4.2,940,pass,pass,0.88,Meridian Cloud,website_fingerprint,pass,mid-cap,Alder Group
R001921,tablefind,2026-07-25,Cinder Tavern,5710 West Wexley Ave,Verano Bay,40419,Ferrymead,+15559665026,https://www.cindertavern.example,Barbecue,$$$,4.0,1646,pass,pass,0.82,n/a,none,unknown,SME,
R000392,civicpages,2026-07-16,Thistle Table,5738 S Tarrow Blvd,Verano Bay,40407,Fox Hollow,5551110904,,Thai,$$$,3.6,1533,pass,pass,0.95,n/a,none,unknown,SME,
R001535,roamly,2026-07-23,Magpie Trattoria,2365 S Wexley Ave,Verano Bay,40347,Harbor Point,+1 555 446 9376,https://www.magpietrattoria.example,French,$$$,3.5,404,pass,pass,0.87,Ironclad,website_fingerprint,fail,SME,
R001580,bookwell,2026-07-11,Alder Kitchen,1605 E Lindmere Rd,Verano Bay,40721,Kingsway,+15552004732,https://www.alderkitchen.example,Peruvian,$$$,4.4,727,pass,pass,0.87,unknown,none,unknown,SME,
R002897,atlasmaps,2026-07-09,Hearth Creamery,1791 W Bayard Ave,Verano Bay,40291,Ferrymead,(555) 441-1868,,Spanish,$$$,4.8,1247,fail,fail,0.83,N/A,none,unknown,SME,
R003165,tablefind,2026-07-10,The Bluebird Dining Room,1982 West Serra Ave,Verano Bay,40718,Bayview Flats,5552448281,https://www.bluebirddiningroom.example,Indian,$$,3.5,1052,pass,pass,0.77,Unknown,none,unknown,mid-cap,Bluebird Group
R002676,tablefind,2026-07-05,Copper Donuts,6548 E Halloway Rd,Verano Bay,40632,Corvo Heights,(555) 370-4609,https://www.copperdonuts.example,Barbecue,$$,3.9,1465,pass,fail,0.97,,none,unknown,SME,
R001498,bookwell,2026-07-12,Wildwood Wine Bar,197 S Quinton Rd,Verano Bay,40252,Kingsway,(555) 214-8526,https://www.wildwoodwinebar.example,Polish,$,4.6,836,pass,pass,0.84,Northstar POS,website_fingerprint,pass,SME,
R002657,bookwell,2026-07-15,Gallow Bakery Verano Bay,129 S Tarrow Blvd,Verano Bay,40730,Lantern Hill,5555928004,https://www.gallowbakery.example,Indian,$$$,4.1,1552,pass,fail,0.87,unknown,none,unknown,SME,
R001060,tablefind,2026-07-19,Hearth Tavern,6880 E Halloway St,Verano Bay,40355,Corvo Heights,555-213-0445,https://www.hearthtavern.example,Mediterranean,$$,4.0,714,pass,pass,0.75,Orbit POS,website_fingerprint,pass,SME,
R001683,dineline,2026-07-26,Thicket Supper Club,"1792 W Prospect St, Verano Bay",Verano Bay,40760,Sunfield,555.803.5534,https://www.thicketsupperclub.example,French,$$$$,3.6,1579,pass,pass,0.95,Cadence Station,website_fingerprint,fail,SME,
R002453,civicpages,2026-07-21,Wildwood Kiosk Verano Bay,3516 N Quinton Road,Verano Bay,40760,Kingsway,555-425-3493,,Vietnamese,$$$,4.0,1785,fail,fail,0.9,-,none,unknown,SME,
R002195,bookwell,2026-06-30,Little Bear Dining Room,7250 W Quinton Blvd,Verano Bay,40558,Stillwater,(555) 843-7792,https://www.littlebeardiningroom.example,Polish,$$$,4.6,330,pass,pass,0.74,Unknown,none,unknown,SME,
R002725,atlasmaps,2026-07-19,Oxbow Bakery,6105 W Serra Rd,Verano Bay,40719,Sablewood,(555) 995-2330,,Vietnamese,$$$,4.8,867,fail,fail,0.9,UNKNOWN,none,unknown,SME,
R003142,bookwell,2026-07-01,Silverfin Grill,4218 S Bayard Rd,Verano Bay,40127,Stillwater,,https://www.silverfingrill.example,Steakhouse,$$,4.3,935,pass,pass,0.76,n/a,none,unknown,mid-cap,Silverfin Group
R001435,atlasmaps,2026-07-26,Magpie Oyster Bar,4255 W Halloway Ave,Verano Bay,40798,Greenhithe,5551438322,https://www.magpieoysterbar.example,Peruvian,$$$$,3.4,1248,pass,pass,0.86,UNKNOWN,none,unknown,SME,
R000597,civicpages,2026-07-04,Loam Chophouse,7055 S Mallow Rd,Verano Bay,40695,Kingsway,5557280731,https://www.loamchophouse.example,Korean,$$,3.5,445,pass,pass,0.83,n/a,none,unknown,SME,
R003380,atlasmaps,2026-07-07,Golden Hour Brasserie,283 N Halloway Ave,Port Adair,40513,,555-251-8604,https://www.goldenhourbrasserie.example,Korean,$$$,4.3,1885,pass,pass,0.73,Bluecrest,website_fingerprint,pass,SME,
R003331,civicpages,2026-07-05,Olive & Ash Wine Bar,"3009 E Serra Rd, Verano Bay",Verano Bay,40351,Fox Hollow,555-685-9359,https://www.oliveashwinebar.example,Thai,$,4.5,406,pass,pass,0.96,-,none,unknown,large,Olive Inc
R001066,tablefind,2026-07-14,Basil & Bone Bistro - Quarry End,381 West Bayard Boulevard,Verano Bay,40120,Alder Heights,555-704-6949,,Thai,$$$,3.6,1646,pass,pass,0.8,not found,none,unknown,SME,
R000178,tablefind,2026-07-09,Redbird Alehouse,4936 E Bayard Blvd,Verano Bay,40136,Kingsway,555-180-2130,https://www.redbirdalehouse.example,Peruvian,$$$,4.4,566,pass,pass,0.87,n/a,none,unknown,SME,
R000331,dineline,2026-07-01,TIDEWATER STEAKHOUSE,3869 W Bayard Ave,Verano Bay,40767,Miradero,(555) 336-7676,,Ethiopian,$,3.8,1792,pass,pass,0.86,not found,none,unknown,SME,
R003044,tablefind,2026-07-16,Kinship Creamery 1 2,367 S Halloway Blvd,Verano Bay,40419,Marisol,+15554537817,https://www.kinshipcreamery12.example,Barbecue,$$,3.5,1079,pass,fail,0.97,n/a,none,unknown,SME,
R002186,roamly,2026-07-01,Gallow Bistro,5045 N Ashfield Rd,Verano Bay,40524,Lantern Hill,5555468797,https://www.gallowbistro.example,French,$$$,3.6,87,pass,pass,0.81,Unknown,none,unknown,SME,
R002132,civicpages,2026-07-18,Ironwood Tavern Restaurant,5473 N Wexley Boulevard,Verano Bay,40617,Corvo Heights,,https://www.ironwoodtavern.example,Steakhouse,$$,4.0,1569,pass,pass,0.78,not found,none,unknown,SME,
R001230,civicpages,2026-07-10,Wildwood Chophouse,1479 W Prospect Rd,Verano Bay,40173,Stillwater,5556266371,https://www.wildwoodchophouse.example,Korean,$$,3.6,636,pass,pass,0.87,Unknown,none,unknown,SME,
R003271,civicpages,2026-07-22,Harrow Cantina,7267 W Ashfield Boulevard,Verano Bay,40207,Cedar Cross,(555) 943-7668,https://www.harrowcantina.example,Greek,$$,3.4,1710,pass,pass,0.81,not found,none,unknown,large,Harrow Inc
R002700,civicpages,2026-07-27,Jackdaw Express,2467 E Cortez St,Verano Bay,40500,Windrow,(555) 701-5058,,Mediterranean,$$$$,3.6,805,fail,fail,0.97,UNKNOWN,none,unknown,SME,
R000191,civicpages,2026-07-19,Bluebird Kitchen,"4386 N Ashfield Rd, Verano Bay",Verano Bay,40431,Templeton,+15551971152,https://www.bluebirdkitchen.example,Seafood,$$$$,3.6,492,pass,pass,0.73,ironcladpos,website_fingerprint,fail,SME,
R002508,civicpages,2026-06-30,Larkspur Smoothie,4164 E Ashfield Ave,Verano Bay,40490,Stillwater,+15557829731,https://www.larkspursmoothie.example,French,$$,4.8,1763,pass,fail,0.8,northstar,website_fingerprint,pass,SME,
R001800,civicpages,2026-07-15,Wren Taqueria,6221 N Serra St,Verano Bay,40600,Ferrymead,555.276.1243,https://www.wrentaqueria.example,Mediterranean,$$,4.9,1328,pass,pass,0.92,Saltbox,website_fingerprint,fail,SME,
R002443,dineline,2026-07-24,Loam Sandwich Shop,3427 S Prospect Rd,Verano Bay,40280,Quarry End,5558706534,https://www.loamsandwichshop.example,Indian,$$$$,4.1,224,pass,fail,0.81,unknown,none,unknown,SME,
R002146,roamly,2026-07-02,Fallowfield Trattoria,2831 E Prospect Ave,Verano Bay,40230,Kingsway,(555) 258-2067,https://www.fallowfieldtrattoria.example,Thai,$$$,4.7,394,pass,pass,0.92,Unknown,none,unknown,SME,
R000607,atlasmaps,2026-06-30,FERNWOOD KITCHEN,"5486 W Tarrow Ave, Verano Bay",Verano Bay,40127,Fox Hollow,555-290-3400,https://www.fernwoodkitchen.example,Barbecue,$$,3.9,444,pass,pass,0.74,ironcladpos,website_fingerprint,fail,SME,
R002225,atlasmaps,2026-07-18,Gallow Chophouse,2070 East Serra St,Verano Bay,40560,Greenhithe,(555) 498-6160,,Steakhouse,$$$,3.8,611,pass,pass,0.98,-,none,unknown,SME,
R000455,civicpages,2026-07-17,Oxbow Wine Bar,5992 E Ashfield St,Verano Bay,40651,Alder Heights,555-172-4615,https://www.oxbowwinebar.example,French,$,4.1,1514,pass,pass,0.82,northstar,website_fingerprint,pass,SME,
R000652,atlasmaps,2026-07-20,Tallgrass Brasserie,4600 N Prospect Rd,Verano Bay,40599,Cedar Cross,(555) 957-7509,https://www.tallgrassbrasserie.example,Mexican,$$$,4.6,1253,pass,pass,0.88,-,none,unknown,SME,
R002671,atlasmaps,2026-07-15,REDBIRD CREAMERY 1,"1961 W Calder Ave, Verano Bay",Verano Bay,40325,Templeton,+1 555 233 7802,https://www.redbirdcreamery1.example,Thai,$$$,4.3,310,fail,fail,0.84,Northstar POS,website_fingerprint,pass,SME,
R001147,roamly,2026-07-02,NINE BRIDGES TAVERN,6278 North Fennimore Road,Verano Bay,40428,Fox Hollow,+1 555 492 4989,https://www.ninebridgestavern.example,Steakhouse,$$$,3.7,1678,pass,pass,0.79,-,none,unknown,SME,
R001811,civicpages,2026-07-03,Thicket Steakhouse,2483 W Lindmere Blvd,Verano Bay,40785,Alder Heights,555.554.1251,https://www.thicketsteakhouse.example,Seafood,$,4.4,694,pass,pass,0.89,n/a,none,unknown,SME,
R001322,civicpages,2026-07-07,The Tin Roof Wine Bar,5532 East Serra Avenue,Verano Bay,40714,Alder Heights,+15559528676,https://www.tinroofwinebar.example,Greek,$$$,4.8,2004,pass,pass,0.94,UNKNOWN,none,unknown,SME,
R000114,atlasmaps,2026-07-26,Rambler Osteria,3370 S Cortez Rd,Verano Bay,40669,Rivera District,+1 555 198 5829,https://www.ramblerosteria.example,Japanese,$,4.1,709,pass,pass,0.93,cadence,website_fingerprint,fail,SME,
R001241,bookwell,2026-07-21,Violet Osteria,7670 East Prospect Rd,Verano Bay,40766,Old Mill,+15557552562,https://www.violetosteria.example,French,$$$,3.5,1503,pass,pass,0.93,Unknown,none,unknown,SME,
R000422,dineline,2026-07-04,Thistle Room,669 E Wexley Rd,Verano Bay,40618,Greenhithe,5552784765,https://www.thistleroom.example,Peruvian,$$$,4.3,205,pass,pass,0.91,n/a,none,unknown,SME,
